Hidden_State,S1,S2,S3,S4,S5,S6,row_id,Internal_Mobility_Index,External_Mobility_Index,Per_Capita_Income,Cumulative_Cases_Rate,Average_Household_Persons,Inmigrants,Total_Households_Housed,Housing_Precariousness_Index,Commune,Date,Days,Higher_Education_Percentage,Postgraduade_Percentage,Social_Priority_Index_2020,Priority_2020,Code,Year,Month,Step,Step_Label,Quarantine_Start_Date,Quarantine_End_Date,Gross_Daily_Cases,Gross_Daily_Cases_Mobile_Average_7_Days
5.0,1.2818710721503302e-46,6.614871154802005e-06,0.001455561739482436,3.1996920271622126e-175,0.9985378233893628,3.2452861454524913e-160,6739,1.040095621,6.834021515,250926.34,4851.46225869842,3.231087033,2352,96452,4.9388268,San Ramon,2020-07-14,2020-07-16,7.0,0.2,83.5,Alta Prioridad Social,13131,2020,7,1,Cuarentena,2020-04-30,2020-09-07,20.80684313952952,30.87999735786135
5.0,6.31041386134116e-42,2.2106883998924444e-05,0.0018940952013259496,7.764830594479021e-162,0.998083797914675,1.3790539131178509e-146,6740,1.017928936,6.617896338,250926.34,4871.11316610796,3.231087033,2352,96452,4.9388268,San Ramon,2020-07-15,2020-07-17,7.0,0.2,83.5,Alta Prioridad Social,13131,2020,7,1,Cuarentena,2020-04-30,2020-09-07,19.6509074095402,29.7240616278871
5.0,1.48615443697633e-37,1.1855359141309432e-05,0.00979765396931494,8.248622657568942e-150,0.9901904906715437,9.223574477916981e-134,6741,0.773063132,5.105183092,250926.34,4891.92000924749,3.231087033,2352,96452,4.9388268,San Ramon,2020-07-16,2020-07-18,7.0,0.2,83.5,Alta Prioridad Social,13131,2020,7,1,Cuarentena,2020-04-30,2020-09-07,20.80684313953043,28.56812589791571
5.0,7.160510157702119e-34,0.00014839878418501317,0.0031010963541088297,2.230786471543914e-137,0.9967505048617061,8.254182600020414e-122,6742,0.858524394,6.238346191,250926.34,4912.72685238701,3.231087033,2352,96452,4.9388268,San Ramon,2020-07-17,2020-07-19,7.0,0.2,83.5,Alta Prioridad Social,13131,2020,7,1,Cuarentena,2020-04-30,2020-09-07,20.80684313951951,27.41219016794145
5.0,1.934309562605436e-24,0.0011816224726049487,0.007520772557844105,1.1449071288975605e-109,0.9912976049695509,3.6729185591705954e-94,6743,0.814136695,5.685700315,250926.34,4930.06588833661,3.231087033,2352,96452,4.9388268,San Ramon,2020-07-18,2020-07-20,7.0,0.2,83.5,Alta Prioridad Social,13131,2020,7,1,Cuarentena,2020-04-30,2020-09-07,17.33903594960066,24.60491768086299
2.0,2.684022379380076e-17,0.0044323345045099456,0.019267293217755825,5.961302210854979e-88,0.9763003722777343,7.692472801811749e-73,6744,0.776920569,5.152124307,250926.34,4948.56086001618,3.231087033,2352,96452,4.9388268,San Ramon,2020-07-19,2020-07-21,7.0,0.2,83.5,Alta Prioridad Social,13131,2020,7,1,Cuarentena,2020-04-30,2020-09-07,18.49497167956997,22.12791254520432
2.0,8.979425487913839e-11,0.06721064137254855,0.012625532990864887,6.950834793654545e-66,0.9201638255467923,2.8139079620032233e-52,6745,0.889166576,6.012550255,250926.34,4965.89989596578,3.231087033,2352,96452,4.9388268,San Ramon,2020-07-20,2020-07-22,7.0,0.2,83.5,Alta Prioridad Social,13131,2020,7,1,Cuarentena,2020-04-30,2020-09-07,17.33903594959975,19.32064005812715
2.0,5.710957973970962e-09,0.6035918727404275,0.011162697696775898,3.1056964617442825e-61,0.3852454238518386,1.4734373686116596e-47,6746,0.635662284,5.389872868,250926.34,4982.08299618541,3.231087033,2352,96452,4.9388268,San Ramon,2020-07-21,2020-07-23,7.0,0.2,83.5,Alta Prioridad Social,13131,2020,7,1,Cuarentena,2020-04-30,2020-09-07,16.18310021962952,18.66010535528429
2.0,1.394651841161682e-07,0.9779852055126982,0.000431210085276604,2.8600328603545843e-56,0.02158344493684113,2.6524911792980093e-43,6747,0.878354884,5.95028795,250926.34,4997.11016067507,3.231087033,2352,96452,4.9388268,San Ramon,2020-07-22,2020-07-24,7.0,0.2,83.5,Alta Prioridad Social,13131,2020,7,1,Cuarentena,2020-04-30,2020-09-07,15.02716448966021,17.99957065244429
2.0,1.733126692300591e-06,0.99744831245406,1.649817661466557e-05,1.765350603242976e-51,0.00253345624263301,1.6204940268146878e-38,6748,0.795718787,5.766597849,250926.34,5012.13732516472,3.231087033,2352,96452,4.9388268,San Ramon,2020-07-23,2020-07-25,7.0,0.2,83.5,Alta Prioridad Social,13131,2020,7,1,Cuarentena,2020-04-30,2020-09-07,15.0271644896502,17.17390227388998
